LineItem,DimensionLineItem,Axis,Member,Weight
AccumulatedOtherComprehensiveIncomeLossNetOfTax,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,AccumulatedOtherComprehensiveIncomeMember,1
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,AccumulatedDefinedBenefitPlansAdjustmentMember,1
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,AccumulatedTranslationAdjustmentMember,1
CommonStockValue,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,CommonStockMember,1
AdditionalPaidInCapital,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,AdditionalPaidInCapitalMember,1
MinorityInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,NoncontrollingInterestMember,1
TreasuryStockValue,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,TreasuryStockMember,-1
RetainedEarningsAccumulatedDeficit,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,RetainedEarningsMember,1
StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,ParentMember,1
RetainedEarningsUnappropriated,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,RetainedEarningsUnappropriatedMember,1
NetIncomeLoss,ProfitLoss,StatementEquityComponentsAxis,RetainedEarningsMember,1
NetIncomeLoss,ProfitLoss,StatementEquityComponentsAxis,ParentMember,1
